Firstnames,Lastnames,Fathername,Mothername,Gender
VECHETTIN 242,BARDAK 2952,FARUK 78742,SIDRET 460,M
MORIS 134,ODACI 2108,NEZIH 2552,SADIME 274,M
ERKAY 131,KARAS 2083,ALKAN 2300,HANISE 269,M
TOLUNAY 143,KOLDAS 2177,NUR 3286,ZEMZEMA 288,M
CAYIT 131,BALKIS 2085,IDIRIS 2318,EMIRAYSE 269,M
OGUZHAN 16830,AKAY 27197,CAVUS 627,VAHIDE 19007,M
ERSAY 131,BEK 2082,MIKTAT 2295,MERIYE 269,M
SEN 389,AKIL 3946,NAHIT 3560,MUNEVVERE 731,M
SEBAT 1381,KELLE 1183,MURSEL 12514,ALTUNAY 122,F
CECAN 114,EMEKTAR 1919,AHMED 1243,MURFET 238,M
SINI 113,AYKUTLUG 578,MIKTAT 2295,SAADET 59901,F
DILSA 826,KERMAN 1059,MEHDI 2728,AVDET 106,F
ASIL 1093,ZOR 6764,ABDULLAH 202199,MUAMMER 1677,M
GOKCEK 427,YEMEZ 918,SENER 12313,SEHRIYE 6266,F
EDNAN 1178,AYDINLI 7044,BINYAMIN 259,SABIYE 1833,M
PIRAN 228,GOLCUK 2849,NEVZAT 48149,AFIDE 432,M
NEDIFE 121,KILINCLI 597,ZULFU 4287,SELVI 16025,F
NAIT 164,ACI 2359,MEDENI 5769,DILFIRAZ 318,M
BILDAN 161,DEMIRBOZAN 666,ABDULMUTALIP 1391,TUGBA 78163,F
KIYAS 832,GEMICI 5914,ENVER 42727,SELCEN 1382,M
GULINAZ 516,SALA 963,VOLKAN 47096,CAHIDE 15654,F
DILAVER 6122,KOCER 14836,AMIL 461,ESMER 7740,M
CENK 10626,AVSAR 20249,KUTSAL 551,REFIKA 12988,M
SEYITHANIM 123,TAMAN 602,MASALLAH 5024,FETHIYE 19048,F
MURUFET 262,KANKAL 794,NESIH 1159,HASBIYE 1311,F
BIRHAN 587,AGAC 5021,ABDURRAHIM 13194,ATIFE 1055,M
KORAY 14224,SOLMAZ 23373,MUCAHID 600,PELIN 16313,M
PEYAM 231,CAVUSLAR 758,NAZIM 27470,AYBUKE 991,F
GULBARI 204,CEP 726,ALIM 7743,ZEYNETI 742,F
MEHMED 1393,OZDIL 7734,ZULAL 282,SUMBUL 2147,M
SEYLAN 438,INALKAC 924,MUMIN 15292,GULFER 7124,F
MAHNUR 136,ELEVLI 628,NECIP 17941,DILEK 149858,F
KARAKIZ 353,ILDEM 871,ALPAY 4456,UMUS 3145,F
VEZIRI 292,DOK 821,ZULFI 1837,NUKHET 1706,F
NESIME 5691,TEKNECI 1414,NAFI 2340,RAIZE 158,F
MUZBAH 141,AKBAYRAK 2166,FEDAI 3183,HUKMIYE 285,M
NADIRIYE 612,ISLIYEN 995,ERCIN 1193,KAMILE 35523,F
LIMAN 296,YILMAZEL 824,CEMALI 1969,FELEKNAZ 1759,F
NAYLE 396,OZKESKIN 900,KAHRAMAN 8548,ABIDE 4739,F
SAFII 148,DELIGOZ 2228,RAMIS 3749,SELIMA 297,M
MAHMUD 429,UNCU 4190,ERGUL 4737,SAFYA 794,M
HAMDULLAH 5763,KANAT 14490,TALIH 454,NEVIM 7328,M
KARIN 276,CAMKERTEN 809,ABDURREZAK 1427,AYSA 1515,F
HACO 187,CAMOGLU 2550,AYTEKIN 12328,MERIS 359,M
BEYBUN 310,SARIALIOGLU 836,BAHADDIN 2525,CAKIR 2033,F
ZULFINAZ 2227,KILINCER 1274,MEVLUT 65118,VERA 136,F
AYSON 157,KOCPINAR 661,BAHA 1254,HEDIYE 55384,F
ZARIFE 15396,HAKVERDI 1526,GURAY 5085,YESER 178,F
MUHAREM 308,AZGIN 3432,NAZIR 1877,DURHANIM 595,M
EFIL 287,DAGDEMIR 818,ERDEN 1676,SEKURE 1630,F
BOZKURT 401,MENTESE 4046,MUMTAZ 3967,FIRUZAN 759,M
GEYIK 215,GURSUL 739,HULUSI 11927,HURISER 821,F
FIDAN 28430,GUVENIR 1607,SADULLAH 9039,DERVISE 189,F
HARIS 414,BOR 4119,DEMIR 4245,SAHHANIM 776,M
HACIM 460,ANIK 4346,ALICAN 6095,KEVI 854,M
ANI 599,ARIKBOGA 991,ZEYNI 1158,NILUFER 31933,F
GURCI 517,ILTAS 964,NEVZAT 48149,FIRDES 15958,F
MUSFIKA 370,ERENER 882,TIMUR 5682,SELCAN 3677,F
CAGIN 297,DEMIRDAG 3359,VEZIR 1668,IFTAR 571,M
NERMIYE 973,ATALI 1098,NIMET 4029,AYTOP 111,F
ATTILLA 161,ALCAN 2344,ESER 5535,KIBARE 316,M
ZEKIYE 72832,MACAR 1701,EMRULLAH 18291,MALIYE 202,F
DINCER 6227,GOCER 15088,ZATI 466,BEYAZ 7921,M
AYUS 173,TEKAY 683,HUDAVERDI 2269,GULPINAR 515,F
MIHRAC 399,AKAGUNDUZ 4034,KUTBETTIN 3898,MAVI 751,M
GUNHAN 129,SALCIOGLU 615,NAMIK 9686,LUTFIYE 44611,F
BAYBARS 203,HAMURCU 2691,CEVAT 21293,SERCIN 391,M
YUSUF 252196,CETIN 208690,SEYFEDDIN 1110,HANIFE 155116,M
MELIS 4235,DIKTAS 1372,BILGEHAN 1708,GULYAR 151,F
HEMI 412,CELIKLI 910,CENK 10626,MUHTEREM 5568,F
KERZIK 267,KELEKCI 799,BEDI 1243,AYSEDUDU 1386,F
MUSTECEP 388,KIVANC 3937,MUKREMIN 3451,SERVINAZ 727,M
SUAYIB 126,EGRI 2018,ISAK 1812,GURBUZ 258,M
BALLI 679,BAYKUT 1015,CANAN 1438,HACO 100,F
BAGI 173,ELCIN 2435,ABDULVAHAP 7884,SAFET 336,M
BEYTUL 264,CAKIRTAS 796,ALISEYDI 1194,GORKEM 1352,F
ASKIM 372,YARASIR 885,KEMALETTIN 5984,RESIDE 3746,F
GELENGUL 173,CARIK 682,ABDULMUTTALIP 2254,PAYAM 514,F
